smiles,property,value
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3[*],Eat,-6.21
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)[*],Eat,-6.17
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3O[*],Eat,-6.29
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],Eat,-6.34
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(=S)[*],Eat,-6.31
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3O[*],Eat,-6.34
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O[*],Eat,-6.29
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)[*],Eat,-6.16
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],Eat,-6.18
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)[*],Eat,-6.17
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O[*],Eat,-6.28
[*]C(C=C1)=CC=C1C(=S)OC(=S)[*],Eat,-6.13
[*]C(C=C1)=CC=C1OC(S2)=CC=C2O[*],Eat,-6.18
[*]C(C=C1)=CC=C1OC(=S)C(S2)=CC=C2[*],Eat,-6.21
[*]C(C=C1)=CC=C1OC(=S)O[*],Eat,-6.18
[*]CC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.03
[*]CC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-5.95
[*]CC(S1)=CC=C1C(S2)=CC=C2O[*],Eat,-5.95
[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.12
[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.05
[*]CC(S1)=CC=C1C(C=C2)=CC=C2O[*],Eat,-6.09
[*]CC(S1)=CC=C1CC(S2)=CC=C2[*],Eat,-5.81
[*]CC(S1)=CC=C1CC(=S)[*],Eat,-5.65
[*]CC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.08
[*]CC(S1)=CC=C1C(=O)C(=S)[*],Eat,-5.99
[*]CC(S1)=CC=C1C(=O)O[*],Eat,-6.07
[*]CC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Eat,-5.94
[*]CC(S1)=CC=C1C(=S)O[*],Eat,-5.82
[*]CC(S1)=CC=C1NC(S2)=CC=C2[*],Eat,-5.9
[*]CC(S1)=CC=C1NC(=S)[*],Eat,-5.77
[*]CC(S1)=CC=C1NO[*],Eat,-5.66
[*]CC(S1)=CC=C1OC(S2)=CC=C2[*],Eat,-5.92
[*]CC(S1)=CC=C1OC(=S)[*],Eat,-5.78
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.12
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.2
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-6.08
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.19
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.26
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.17
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2O[*],Eat,-6.2
[*]CC(C=C1)=CC=C1CC(S2)=CC=C2[*],Eat,-5.99
[*]CC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],Eat,-6.09
[*]CC(C=C1)=CC=C1CC(=S)[*],Eat,-5.85
[*]CC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.2
[*]CC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],Eat,-6.29
[*]CC(C=C1)=CC=C1C(=O)C(=S)[*],Eat,-6.14
[*]CC(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],Eat,-6.07
[*]CC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eat,-6.17
[*]CC(C=C1)=CC=C1C(=S)O[*],Eat,-6
[*]CC(C=C1)=CC=C1NC(S2)=CC=C2[*],Eat,-6.04
[*]CC(C=C1)=CC=C1NC(C=C2)=CC=C2[*],Eat,-6.15
[*]CC(C=C1)=CC=C1NC(=S)[*],Eat,-5.97
[*]CC(C=C1)=CC=C1NO[*],Eat,-5.9
[*]CC(C=C1)=CC=C1OC(S2)=CC=C2[*],Eat,-6.08
[*]CC(C=C1)=CC=C1OC(=S)[*],Eat,-6
[*]CCC(S1)=CC=C1C(S2)=CC=C2[*],Eat,-5.86
[*]CCC(S1)=CC=C1C(=S)[*],Eat,-5.69
[*]CCC(S1)=CC=C1O[*],Eat,-5.67
[*]CCC(C=C1)=CC=C1C(S2)=CC=C2[*],Eat,-5.98
[*]CCC(C=C1)=CC=C1C(=S)[*],Eat,-5.87
[*]CCC(C=C1)=CC=C1O[*],Eat,-5.89
[*]CCCC(S1)=CC=C1[*],Eat,-5.57
[*]CCCC(C=C1)=CC=C1[*],Eat,-5.78
[*]CCCC(=O)[*],Eat,-5.52
[*]CCCC(=S)[*],Eat,-5.22
[*]CCC(=O)C(S1)=CC=C1[*],Eat,-5.9
[*]CCC(=O)C(C=C1)=CC=C1[*],Eat,-6.05
[*]CCC(=O)C(=S)[*],Eat,-5.61
[*]CCC(=S)O[*],Eat,-5.34
[*]CCNC(S1)=CC=C1[*],Eat,-5.63
[*]CCNC(C=C1)=CC=C1[*],Eat,-5.85
[*]CCNC(=S)[*],Eat,-5.36
[*]CCON[*],Eat,-5.12
[*]CC(=O)C(S1)=CC=C1C(S2)=CC=C2[*],Eat,-6.12
[*]CC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.21
[*]CC(=O)C(S1)=CC=C1C(=O)[*],Eat,-6.21
[*]CC(=O)C(S1)=CC=C1C(=S)[*],Eat,-6
[*]CC(=O)C(S1)=CC=C1O[*],Eat,-6.03
[*]CC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],Eat,-6.2
[*]CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.29
[*]CC(=O)C(C=C1)=CC=C1C(=O)[*],Eat,-6.34
[*]CC(=O)C(C=C1)=CC=C1C(=S)[*],Eat,-6.15
[*]CC(=O)C(C=C1)=CC=C1O[*],Eat,-6.19
[*]CC(=O)CC(S1)=CC=C1[*],Eat,-5.87
[*]CC(=O)CC(C=C1)=CC=C1[*],Eat,-6.05
[*]CC(=O)CC(=O)[*],Eat,-5.95
[*]CC(=O)CC(=S)[*],Eat,-5.62
[*]CC(=O)CO[*],Eat,-5.62
[*]CC(=O)C(=S)C(S1)=CC=C1[*],Eat,-6
[*]CC(=O)C(=S)C(C=C1)=CC=C1[*],Eat,-6.15
[*]CC(=O)C(=S)C(=O)[*],Eat,-6.06
[*]CC(=O)C(=S)O[*],Eat,-5.8
[*]CC(=O)NC(S1)=CC=C1[*],Eat,-6.01
[*]CC(=O)NC(C=C1)=CC=C1[*],Eat,-6.16
[*]CC(=O)NC(=O)[*],Eat,-6.2
[*]CC(=O)NC(=S)[*],Eat,-5.8
[*]CC(=O)OC(S1)=CC=C1[*],Eat,-6.05
[*]CC(=O)OC(=O)[*],Eat,-6.3
[*]CC(=O)OC(=S)[*],Eat,-5.87
[*]CC(=S)C(S1)=CC=C1C(=S)[*],Eat,-5.78
[*]CC(=S)C(S1)=CC=C1O[*],Eat,-5.8
[*]CC(=S)C(C=C1)=CC=C1C(=S)[*],Eat,-5.91
[*]CC(=S)C(C=C1)=CC=C1N[*],Eat,-5.95
[*]CC(=S)C(C=C1)=CC=C1O[*],Eat,-5.99
[*]CC(=S)CC(=S)[*],Eat,-5.3
[*]CC(=S)CO[*],Eat,-5.27
[*]CC(=S)C(=O)C(=S)[*],Eat,-5.79
[*]CC(=S)C(=O)O[*],Eat,-5.84
[*]CC(=S)NC(=S)[*],Eat,-5.43
[*]CC(=S)NO[*],Eat,-5.27
[*]CC(=S)OC(=S)[*],Eat,-5.45
[*]CNC(S1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.04
[*]CNC(S1)=CC=C1C(=O)[*],Eat,-6
[*]CNC(S1)=CC=C1C(=S)[*],Eat,-5.78
[*]CNC(S1)=CC=C1N[*],Eat,-5.7
[*]CNC(S1)=CC=C1O[*],Eat,-5.74
[*]CNC(C=C1)=CC=C1C(S2)=CC=C2[*],Eat,-6.05
[*]CNC(C=C1)=CC=C1C(=O)[*],Eat,-6.14
[*]CNC(C=C1)=CC=C1N[*],Eat,-5.93
[*]CNC(C=C1)=CC=C1O[*],Eat,-5.98
[*]CNCC(S1)=CC=C1[*],Eat,-5.61
[*]CNCC(C=C1)=CC=C1[*],Eat,-5.84
[*]CNCC(=O)[*],Eat,-5.59
[*]CNCC(=S)[*],Eat,-5.26
[*]CNCN[*],Eat,-5.22
[*]CNCO[*],Eat,-5.27
[*]CNC(=O)C(S1)=CC=C1[*],Eat,-6.02
[*]CNC(=O)C(=S)[*],Eat,-5.8
[*]CNC(=S)C(S1)=CC=C1[*],Eat,-5.79
[*]CNC(=S)C(C=C1)=CC=C1[*],Eat,-5.96
[*]CNC(=S)C(=O)[*],Eat,-5.79
[*]CNC(=S)N[*],Eat,-5.48
[*]CNC(=S)O[*],Eat,-5.49
[*]CNOC(S1)=CC=C1[*],Eat,-5.66
[*]CNOC(C=C1)=CC=C1[*],Eat,-5.9
[*]CNOC(=S)[*],Eat,-5.28
[*]CNON[*],Eat,-5.01
[*]COC(S1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.07
[*]COC(S1)=CC=C1O[*],Eat,-5.78
[*]COC(C=C1)=CC=C1O[*],Eat,-6.03
[*]COC(=O)O[*],Eat,-5.97
[*]COC(=S)O[*],Eat,-5.47
[*]CONC(=O)[*],Eat,-5.69
[*]CONO[*],Eat,-5.08
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.27
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-6.22
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],Eat,-6.27
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.34
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.29
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],Eat,-6.38
[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.37
[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],Eat,-6.33
[*]C(=O)C(S1)=CC=C1C(=O)O[*],Eat,-6.49
[*]C(=O)C(S1)=CC=C1C(=S)O[*],Eat,-6.21
[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],Eat,-6.22
[*]C(=O)C(S1)=CC=C1OC(=S)[*],Eat,-6.17
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.38
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],Eat,-6.35
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.42
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.37
[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.45
[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],Eat,-6.51
[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],Eat,-6.42
[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],Eat,-6.35
[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],Eat,-6.33
[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],Eat,-6.3
[*]C(=O)C(=S)OC(=S)[*],Eat,-5.98
[*]C(=O)OC(S1)=CC=C1C(=S)[*],Eat,-6.21
[*]C(=O)OC(S1)=CC=C1O[*],Eat,-6.25
[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],Eat,-6.32
[*]C(=O)OC(=O)O[*],Eat,-6.78
[*]C(=O)OC(=S)O[*],Eat,-6.2
[*]NC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.09
[*]NC(S1)=CC=C1C(S2)=CC=C2C[*],Eat,-5.92
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=O)[*],Eat,-6.22
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-6.05
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.18
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.15
[*]NC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.18
[*]NC(S1)=CC=C1C(=O)C(=S)[*],Eat,-6.15
[*]NC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Eat,-6
[*]NC(S1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eat,-6.15
[*]NC(S1)=CC=C1NC(S2)=CC=C2[*],Eat,-5.96
[*]NC(S1)=CC=C1NC(=S)[*],Eat,-5.89
[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],Eat,-5.99
[*]NC(S1)=CC=C1OC(=S)[*],Eat,-5.92
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.18
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.26
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-6.18
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.26
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Eat,-6.31
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C[*],Eat,-6.15
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eat,-6.25
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2O[*],Eat,-6.21
[*]NC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Eat,-6.29
[*]NC(C=C1)=CC=C1C(=O)C(=S)[*],Eat,-6.27
[*]NC(C=C1)=CC=C1C(=O)O[*],Eat,-6.22
[*]NC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eat,-6.23
[*]NC(C=C1)=CC=C1NC(S2)=CC=C2[*],Eat,-6.11
[*]NC(C=C1)=CC=C1NO[*],Eat,-5.91
[*]NC(C=C1)=CC=C1OC(S2)=CC=C2[*],Eat,-6.14
[*]NC(C=C1)=CC=C1OC(C=C2)=CC=C2[*],Eat,-6.26
[*]NC(C=C1)=CC=C1OC(=S)[*],Eat,-6.14
[*]NC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.33
[*]NC(=O)C(S1)=CC=C1C(=O)[*],Eat,-6.4
[*]NC(=O)C(S1)=CC=C1C(=S)[*],Eat,-6.14
[*]NC(=O)C(S1)=CC=C1O[*],Eat,-6.08
[*]NC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],Eat,-6.31
[*]NC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.4
[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],Eat,-6.28
[*]NC(=O)C(C=C1)=CC=C1O[*],Eat,-6.24
[*]NC(=O)C(=S)C(S1)=CC=C1[*],Eat,-6.16
[*]NC(=O)C(=S)C(C=C1)=CC=C1[*],Eat,-6.26
[*]NC(=O)C(=S)C(=O)[*],Eat,-6.35
[*]NC(=O)C(=S)O[*],Eat,-5.88
[*]NC(=O)NC(S1)=CC=C1[*],Eat,-6.15
[*]NC(=O)NC(C=C1)=CC=C1[*],Eat,-6.31
[*]NC(=O)NC(=O)[*],Eat,-6.46
[*]NC(=O)NC(=S)[*],Eat,-6.02
[*]NC(=O)NO[*],Eat,-5.7
[*]NC(=O)OC(S1)=CC=C1[*],Eat,-6.2
[*]NC(=O)OC(C=C1)=CC=C1[*],Eat,-6.35
[*]NC(=O)OC(=S)[*],Eat,-6.1
[*]NC(=S)C(=C1)SC(=C1)C(=S)[*],Eat,-5.92
[*]NC(=S)C(S1)=CC=C1O[*],Eat,-5.82
[*]NC(=S)C(C=C1)=CC=C1O[*],Eat,-6.02
[*]NC(=S)C(=O)C(=S)[*],Eat,-5.94
[*]NC(=S)C(=O)O[*],Eat,-5.89
[*]NC(=S)NC(C=C1)=CC=C1[*],Eat,-6.09
[*]NC(=S)NC(=S)[*],Eat,-5.69
[*]NC(=S)NO[*],Eat,-5.23
[*]NC(=S)OC(=S)[*],Eat,-5.64
[*]NOC(C=C1)=CC=C1O[*],Eat,-5.98
[*]NOC(=O)O[*],Eat,-5.77
[*]NOC(=S)O[*],Eat,-5.2
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2OC(C=C3)=CC=C3[*],Eat,-6.15
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2CC(C=C3)=CC=C3[*],Eat,-6.09
[*]NC(=S)NC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],Eat,-6.09
[*]CCOCCOC(=O)NC(=CC=C1(C))C=C1NC(=O)O[*],Eat,-5.83
[*]C(C=C1)=CC=C1C(=O)NC(=O)[*],Eat,-6.48
[*]NC(=O)OC(=O)[*],Eat,-6.61
[*]C(=O)C(=S)C(=O)O[*],Eat,-6.47
[*]C(C=C1)=CC=C1OC(=O)CC(=O)CCO[*],Eat,-6.01
[*]CCOC(=S)NC(=S)C(C=C1)=CC=C1N[*],Eat,-5.81
[*]CNCCCOCO[*],Eat,-5.21
[*]CNCNC(=O)NC(=O)N[*],Eat,-5.84
[*]CNC(=O)NCOCO[*],Eat,-5.58
[*]CNC(=O)ONC(=O)NO[*],Eat,-5.82
[*]COCOCCCO[*],Eat,-5.22
[*]COC(=O)NCCNC[*],Eat,-5.49
[*]C(=O)NC(=O)CNC(=O)ON[*],Eat,-6.11
[*]C(=O)NC(=O)NCCCN[*],Eat,-5.77
[*]C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N[*],Eat,-6.29
[*]C(=O)NC(=O)OC(=O)NCN[*],Eat,-6.22
[*]C(=O)NOCCCCO[*],Eat,-5.44
[*]OC(C=C1)=CC=C1C(=O)C(S2)=CC=C2C(=O)NOC(=O)[*],Eat,-6.35
[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(S2)=CC=C2[*],Eat,-5.83
[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(=S)[*],Eat,-5.65
[*]C(F)(F)C(S1)=CC=C1C(F)(F)O[*],Eat,-5.68
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(S2)=CC=C2[*],Eat,-5.99
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(C=C2)=CC=C2[*],Eat,-6.06
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S)[*],Eat,-5.84
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)O[*],Eat,-5.92
[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(=S)[*],Eat,-5.66
[*]C(F)(F)C(F)(F)C(S1)=CC=C1O[*],Eat,-5.67
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(S2)=CC=C2[*],Eat,-5.98
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Eat,-6.1
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S)[*],Eat,-5.85
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1O[*],Eat,-5.89
[*]C(F)(F)C(F)(F)CC(S1)=CC=C1[*],Eat,-5.59
[*]C(F)(F)C(F)(F)CC(C=C1)=CC=C1[*],Eat,-5.78
[*]C(F)(F)C(F)(F)CC(=O)[*],Eat,-5.5
[*]C(F)(F)C(F)(F)CC(=S)[*],Eat,-5.19
[*]C(F)(F)C(F)(F)CN[*],Eat,-5.24
[*]C(F)(F)C(F)(F)CO[*],Eat,-5.23
[*]C(F)(F)C(F)(F)C(=O)C(S1)=CC=C1[*],Eat,-5.86
[*]C(F)(F)C(F)(F)C(=O)C(C=C1)=CC=C1[*],Eat,-6.03
[*]C(F)(F)C(F)(F)C(=O)C(=S)[*],Eat,-5.51
[*]C(F)(F)C(F)(F)C(=S)O[*],Eat,-5.26
[*]C(F)(F)C(F)(F)NC(S1)=CC=C1[*],Eat,-5.66
[*]C(F)(F)C(F)(F)NC(C=C1)=CC=C1[*],Eat,-5.86
[*]C(F)(F)C(F)(F)NC(=O)[*],Eat,-5.65
[*]C(F)(F)C(F)(F)NC(=S)[*],Eat,-5.29
[*]C(F)(F)C(F)(F)ON[*],Eat,-5.15
[*]C(F)(F)CC(F)(F)C(S1)=CC=C1[*],Eat,-5.59
[*]C(F)(F)CC(F)(F)C(C=C1)=CC=C1[*],Eat,-5.8
[*]C(F)(F)CC(F)(F)C(=O)[*],Eat,-5.48
[*]C(F)(F)CC(F)(F)C(=S)[*],Eat,-5.2
[*]C(F)(F)CC(F)(F)N[*],Eat,-5.26
[*]C(F)(F)CC(F)(F)O[*],Eat,-5.25
[*]C(F)(F)C(=O)C(F)(F)C(=O)[*],Eat,-5.77
[*]C(F)(F)C(=O)C(F)(F)O[*],Eat,-5.57
[*]C(F)(F)C(=S)C(F)(F)O[*],Eat,-5.24
[*]C(F)(F)NC(F)(F)C(S1)=CC=C1[*],Eat,-5.66
[*]C(F)(F)NC(F)(F)C(C=C1)=CC=C1[*],Eat,-5.88
[*]C(F)(F)NC(F)(F)C(=O)[*],Eat,-5.56
[*]C(F)(F)NC(F)(F)C(=S)[*],Eat,-5.29
[*]C(F)(F)NC(F)(F)N[*],Eat,-5.31
[*]C(F)(F)NC(F)(F)O[*],Eat,-5.29
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],Eat,-6.3
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(=S)[*],Eat,-6.27
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.22
[*]CC(S1)=CC=C1CO[*],Eat,-5.68
[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Eat,-6.19
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eat,-6.31
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Eat,-6.3
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eat,-6.38
[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],Eat,-6.31
